Aff,Neg,Judge,Result,,
,McDonogh MW,Mamaroneck DT,Marquis Ard,Aff,,
,McDonogh HW,Charles Flowers MB,Eric Clarke,Aff,,
,Baltimore City DS,Unionville WP,Jonathan Meza,Aff,,
,Northview IS,Berkeley Prep WW,Darell Womack,Aff,,
,Mamaroneck GM,Damien DL,Philip DiPiazza,Neg,,
,Montgomery Village AE,Berkeley Prep SW,Jessica Berenson,Neg,,
,Pine Crest IW,Berkeley Prep TZ,Sam Haley-Hill,Neg,,
,Mamaroneck LP,Calvert Hall CP,Andrew Pak,Aff,,
,Calvert Hall LS,Gilman GM,Sonia Suben,Aff,,
,Baltimore City BM,DuVal RH,Kenny Delph,Aff,,
,Baltimore City PS,Mamaroneck BO,Ceili Peake,Neg,,
,Pine Crest YG,McDonogh JN,Dennis Martinez,Aff,,
,Canyon Crest RL,Banneker MP,Joseph Tierney,Aff,,
,Bronx Science CE,SWW CE,Jia (Anita) Pan,Aff,,
,Reagan RW,Berkeley Prep DV,Iyana Trotman,Aff,,
,SWW BM,Calvert Hall BS,Jefferey Yan,Neg,,
,Bronx Science BD,Berkeley Prep HW,Elijah Smith,Aff,,
