Aff,Neg,Judge,Result,,
,Kinkaid BM,Bellarmine  IG,Julian Anderson,Neg,,
,North Broward Prep NP,Edina GJ,Daryl Burch,Aff,,
,Rowland Hall LA,Interlake MG,David Cai,Aff,,
,Rowland Hall SH,Northview IS,Lizzie Prete,Neg,,
,Westside KS,Montgomery Bell TH,Matt Coleman,Aff,,
,Washburn Rural PW,Oak Hall CZ,Sarah Davidson,Aff,,
,North Broward Prep GG,Northview PK,Jared Demunbrun,Aff,,
,Bronx Science FV,Carrollton School of the Sacred Heart BC,Kyujin Derradji,Neg,,
,Liberal Arts and Science KW,Zach BA,,Aff,,
,Georgetown Day BB,Glenbrook North DM,Lindsay Jade Feinstein,Neg,,
,Berkeley Prep KZ,Liberal Arts and Science BG,Emily Feng,Neg,,
,New Trier SW,Montgomery Bell HM,Joshua Gonzalez,Neg,,
,Carrollton School of the Sacred Heart AM,Montgomery Bell HG,Anagha Gouru,Neg,,
,Bellarmine  MT,Glenbrook South KK,Kevin Hamrick,Neg,,
,Glenbrook South SW,Gunn SV,David Heidt,Neg,,
,Niles West RB,NSU ET,Lawson Hudson,Aff,,
,Niles North BG,Crossings Christian CM,Jonah Jacobs,Aff,,
,Lexington KT,Sidwell PK,Kyle Joseph,Aff,,
,St Mark's School of Texas TS,Notre Dame GK,Will Katz,Aff,,
,Interlake CP,Notre Dame GU,Gabby Knight,Neg,,
,Liberal Arts and Science CH,Santa Fe BB,,Aff,,
,Alpharetta KS,McDonogh JN,Gabe Lewis,Aff,,
,Carmel MM,Crossings Christian AC,Arianna Nelson,Aff,,
,Quarry Lane ZZ,Oak Park and River Forest RB,Joshua Michael,Neg,,
,Washburn Rural DJ,Sidwell SR,Cody Morrow,Aff,,
,West HS SLC KM,Minneapolis South CN,Magi Ortiz,Neg,,
,Lawrence Free State PR,Mamaroneck DR,Isaiah Ortiz,Neg,,
,Montgomery Bell PC,Eagan LS,Raina Peter,Aff,,
,Westminster JP,Montgomery Bell HoMa,Lara Pick,Neg,,
,Westwood CH,Lawrence Free State RM,Maddie Pieropan,Neg,,
,Glenbrook North BG,St Mark's School of Texas ZK,Allison Pujol,Aff,,
,Carrollton School of the Sacred Heart FP,Notre Dame DP,Debnil Sur,Aff,,
,Little Rock Central LP,New Trier JW,KJ Reese,Neg,,
,Glenbrook North WY,Crossings Christian BY,Sam Shore,Aff,,
,Little Rock Central BM,Peninsula LL,Max Reese,Neg,,
,Westwood NY,Mount Pleasant CO,Tommy Snider,Aff,,
,Quarry Lane GC,Univ Of Chicago Lab KP,Imran Makani,Neg,,
,Little Rock Central GR,Montgomery Bell YG,Carlos Eyzaguirre,Neg,,
,Lexington YaSr,Alpharetta NT,Oskar Tauring-Traxler,Neg,,
,Westminster SY,Bronx Science CE,Rafael Sanchez,Neg,,
,St Mark's School of Texas BC,Coppell CS,Joseph Tierney,Aff,,
,Berkeley Prep SS,Edina MH,Iyana Trotman,Aff,,
,Kinkaid FZ,St Mark's School of Texas AM,Connor Warshauer,Aff,,
,Georgetown Day BL,Coppell PC,DJ Williams,Aff,,
,Mamaroneck RM,Alpharetta ND,Spencer Williams,Aff,,
,Glenbrook South DK,Winston Churchill BS,Matthew Zhu,Neg,,
,Santa Fe LS,Lowell ST,,Neg,,
