Aff,Neg,Judge,Result,,
,Niles West WP,Minneapolis South GR,Kyujin Derradji,Neg,,
,Iowa City West LK,Okemos KL,Lauren McBlain,Neg,,
,Edina MH,Eagan DG,Javier Hernandez,Aff,,
,Isidore Newman PE,Niles West TC,Marie Stebbings,Aff,,
,Interlake CO,Iowa City Liberty BD,Srikar Satish,Aff,,
,Isidore Newman MR,Niles West SK,Catherine Magana,Neg,,
,Niles West BL,Head-Royce AS,Jared Burke,Neg,,
,Blue Valley Southwest CS,Fox Chapel Area MT,Addison Kane,Neg,,
,Blue Valley Southwest LH,Eagan LS,Andrew Herman,Neg,,
,Iowa City West SC,Blue Valley Southwest ZK,Tommye Weddington,Aff,,
,Maine East VB,Niles North BG,Lizzie Prete,Neg,,
,Interlake CP,Blue Valley Northwest MS,Bennett Dombcik,Aff,,
,Maine East TS,Interlake QZ,Ryan McFarland,Neg,,
,Zach BA,Rosemount YD,,Neg,,
