Aff,Neg,Judge,Result,,
,Maine East VB,Blue Valley Northwest MS,Jared Burke,Neg,,
,Maine East TS,Okemos KL,David Cai,Aff,,
,Niles West WP,Blue Valley Southwest ZK,Simon Wu,Neg,,
,Rosemount YD,Interlake CO,Izak Gallini-Matyas,Neg,,
,Interlake QZ,Edina MH,Lizzie Prete,Aff,,
,Iowa City West SC,Minneapolis South GR,Mahnoor Jamal,Aff,,
,Eagan LS,Isidore Newman MR,Sam Kahan-Harth,Aff,,
,Head-Royce AS,Blue Valley Southwest CS,Gershom Chan,Neg,,
,Niles West SK,Iowa City West LK,Bennett Dombcik,Aff,,
,Blue Valley Southwest LH,Niles West TC,Graham Revare,Aff,,
,Rosemount BF,Iowa City Liberty BD,Catherine Magana,Aff,,
,Niles North BG,Interlake CP,Ryan McFarland,Neg,,
,Niles West BL,Eagan DG,Tommye Weddington,Aff,,
,Isidore Newman PE,Fox Chapel Area MT,Lauren McBlain,Neg,,
